"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"apply","Apply","Appliquer","Aplicar","申请","आवेदन करना","يتقدم","Aplicar","Применять","申し込み","Anwenden","적용하다","Uygula","Applica","Áp dụng","Stosować","Toepassen","นำมาใช้","Aplikovat","প্রয়োগ করুন","Menerapkan","درخواست دیں","వర్తించండి","अर्ज करा","விண்ணப்பிக்கவும்","અરજી કરવી","Застосовувати","Mag -apply","Memohon","aplica","Alkalmaz","Ισχύουν","Tillämpa","ansøge","Søke om","Käytä","להגיש מועמדות","درخواست دادن","അപേക്ഷിക്കുക"
"csv-error","There was an error importing the CSV","Il y a eu une erreur d'importation du CSV","Hubo un error importar el CSV","导入CSV存在错误","CSV आयात करने में एक त्रुटि थी","كان هناك خطأ في استيراد CSV","Houve um erro de importação do CSV","Была ошибка, импортирующая CSV","CSVをインポートするエラーがありました","Es gab einen Fehler beim Importieren des CSV","CSV를 가져 오는 오류가 발생했습니다","CSV'yi içe aktaran bir hata vardı","Si è verificato un errore nell'importare il CSV","Có một lỗi khi nhập CSV","Wystąpił błąd importowania CSV","Er was een foutmelding die de CSV importeerde","มีข้อผิดพลาดในการนำเข้า CSV","Došlo k importu chyby CSV","সিএসভি আমদানি করার একটি ত্রুটি ছিল","Ada kesalahan yang mengimpor CSV","سی ایس وی کو درآمد کرنے میں ایک غلطی تھی","CSV ను దిగుమతి చేసే లోపం ఉంది","सीएसव्ही आयात करण्यात एक त्रुटी होती","CSV ஐ இறக்குமதி செய்வதில் பிழை ஏற்பட்டது","સીએસવી આયાત કરવામાં ભૂલ આવી","Була помилка імпорту CSV","Nagkaroon ng isang error na pag -import ng CSV","Terdapat ralat yang mengimport CSV","A existat o eroare de importare a CSV","Hiba történt a CSV importálásában","Υπήρχε σφάλμα που εισήγαγε το CSV","Det fanns ett fel som importerade CSV","Der var en fejl, der importerede CSV","Det var en feil som importerer CSV","CSV: n tuonti oli virhe","הייתה שגיאה בייבוא ​​ה- CSV","در واردات CSV خطایی رخ داد","CSV ഇറക്കുമതി ചെയ്യുന്നതിൽ ഒരു പിശക് ഉണ്ടായിരുന്നു"
"no-file-selected","No file selected","Aucun fichier sélectionné","Ningún archivo seleccionado","未选择文件","कोई फ़ाइल चयनित नहीं","لم يتم اختيار اي ملف","Nenhum arquivo selecionado","Файл не выбран","ファイルが選択されていません","Keine Datei ausgewählt","파일이 선택되지 않았습니다","Dosya seçilmedi","Nessun file selezionato","Không có tập tin được chọn","Nie wybrano pliku","Geen bestand geselecteerd","ไม่มีการเลือกไฟล์","Žádný soubor nevybrán","নির্বাচিত কোন ফাইল","Tidak ada file yang dipilih","کوئی فائل منتخب نہیں کی گئی","ఫైల్ ఎంచుకోబడలేదు","कोणतीही फाईल निवडली नाही","எந்த கோப்பும் தேர்வு செய்ய படவில்லை","કોઈ ફાઇલ પસંદ કરેલી નથી","Жодного файлу не вибрано","Walang napiling file","Tiada fail yang dipilih","Niciun fisier selectat","Nincs fájl kiválasztva","Κανένα επιλεγμένο αρχείο","Ingen fil vald","Ingen fil valgt","Ingen fil valgt","Ei tiedostoa valittuna","אף קובץ לא נבחר","هیچ فایلی انتخاب نشده است","ഫയലുകളൊന്നും തിരഞ്ഞെടുത്തിട്ടില്ല"
"ok","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","ঠিক আছে","OKE","ٹھیک ہے","అలాగే","ठीक आहे","சரி","બરાબર","в порядку","Ok","okey","Bine","rendben","Εντάξει","OK","Okay","Ok","Hyvä","בסדר","خوب","ശരി"
"info","Info","Info","Información","信息","जानकारी","معلومات","Informações","Информация","情報","Die Info","정보","Bilgi","Informazioni","Thông tin","Informacje","Info","ข้อมูล","Informace","তথ্য","Info","معلومات","సమాచారం","माहिती","தகவல்","માહિતી","Інформація","Impormasyon","Maklumat","Informații","Információ","Πληροφορίες","Info","Info","Info","Tiedot","מידע","اطلاعات","വിവരം"
"exchange-rate-notice","Exchange Rate Notice","Avis de taux de change","Aviso de tipo de cambio","汇率通知","विनिमय दर सूचना","إشعار سعر الصرف","Aviso de taxa de câmbio","Уведомление об обменном курсе","為替レート通知","Wechselkursbekanntmachung","환율 통지","Döviz kuru bildirimi","Avviso di cambio","Thông báo tỷ giá hối đoái","Zawiadomienie o kursie walutowym","Wisselkoersbericht","ประกาศอัตราแลกเปลี่ยน","Oznámení směnného kurzu","এক্সচেঞ্জ রেট নোটিশ","Pemberitahuan nilai tukar","زر مبادلہ کی شرح کا نوٹس","మార్పిడి రేటు నోటీసు","विनिमय दर सूचना","பரிமாற்ற வீத அறிவிப்பு","વિનિમય દર નોટિસ","Повідомлення про обмінний курс","PABABALIK NG RATE","Notis kadar pertukaran","Notificare de schimb de schimb","Árfolyam -értesítés","Προειδοποίηση συναλλαγματικής ισοτιμίας","Valutakurs","Valutakursmeddelelse","Valutakurs","Valuuttakurssi","הודעה על שער חליפין","اطلاعیه نرخ ارز","വിനിമയ നിരക്ക് അറിയിപ്പ്"
"exchange-rate-notice-description","The exchange rates displayed within this app are for informational purposes only and should not be used for investment decisions. These rates are estimates and may not reflect actual rates. By using this app, you acknowledge that you understand and accept these limitations and that you assume full responsibility for any decisions made based on the information provided within the app.","Les taux de change affichés dans cette application sont à des fins d'information uniquement et ne doivent pas être utilisés pour les décisions d'investissement. Ces taux sont des estimations et peuvent ne pas refléter les taux réels. En utilisant cette application, vous reconnaissez que vous comprenez et acceptez ces limitations et que vous assumez l'entière responsabilité de toutes les décisions prises en fonction des informations fournies dans l'application.","Los tipos de cambio que se muestran dentro de esta aplicación son solo para fines informativos y no deben usarse para las decisiones de inversión. Estas tasas son estimaciones y pueden no reflejar las tasas reales. Al usar esta aplicación, usted reconoce que comprende y acepta estas limitaciones y que asume la responsabilidad total de cualquier decisión tomada en función de la información proporcionada dentro de la aplicación.","此应用程序中显示的汇率仅用于信息目的，不应用于投资决策。这些费率是估计值，可能不会反映实际利率。通过使用此应用程序，您确认您了解并接受这些限制，并且您对基于应用程序中提供的信息做出的任何决定承担全部责任。","इस ऐप के भीतर प्रदर्शित विनिमय दरें केवल सूचनात्मक उद्देश्यों के लिए हैं और इसका उपयोग निवेश निर्णयों के लिए नहीं किया जाना चाहिए। ये दरें अनुमान हैं और वास्तविक दरों को प्रतिबिंबित नहीं कर सकती हैं। इस ऐप का उपयोग करके, आप स्वीकार करते हैं कि आप इन सीमाओं को समझते हैं और स्वीकार करते हैं और आप ऐप के भीतर प्रदान की गई जानकारी के आधार पर किए गए किसी भी निर्णय के लिए पूरी जिम्मेदारी लेते हैं।","أسعار الصرف المعروضة في هذا التطبيق هي لأغراض إعلامية فقط ولا ينبغي استخدامها لقرارات الاستثمار. هذه المعدلات هي تقديرات وقد لا تعكس المعدلات الفعلية. باستخدام هذا التطبيق ، فإنك تقر بأنك تفهم هذه القيود وتقبلها وأنك تتحمل المسؤولية الكاملة عن أي قرارات تتخذ بناءً على المعلومات المقدمة في التطبيق.","As taxas de câmbio exibidas neste aplicativo são apenas para fins informativos e não devem ser usados ​​para decisões de investimento. Essas taxas são estimativas e podem não refletir taxas reais. Ao usar este aplicativo, você reconhece que entende e aceita essas limitações e assume total responsabilidade por quaisquer decisões tomadas com base nas informações fornecidas no aplicativo.","Обменные курсы, отображаемые в этом приложении, представляются только для информационных целей и не должны использоваться для инвестиционных решений. Эти ставки являются оценками и могут не отражать фактические ставки. Используя это приложение, вы признаете, что понимаете и принимаете эти ограничения и что вы несете полную ответственность за любые решения, принятые на основе информации, предоставленной в приложении.","このアプリに表示される為替レートは、情報提供のみを目的としており、投資決定には使用すべきではありません。これらのレートは推定値であり、実際のレートを反映していない場合があります。このアプリを使用することにより、これらの制限を理解し、受け入れること、およびアプリ内で提供される情報に基づいて行われた決定に対して完全な責任を負うことを認めます。","Die in dieser App angezeigten Wechselkurse dienen nur zu Informationszwecken und sollten nicht für Investitionsentscheidungen verwendet werden. Diese Raten sind Schätzungen und spiegeln möglicherweise nicht die tatsächlichen Zinsen wider. Durch die Verwendung dieser App erkennen Sie an, dass Sie diese Einschränkungen verstehen und akzeptieren und dass Sie die volle Verantwortung für alle Entscheidungen übernehmen, die auf den in der App bereitgestellten Informationen getroffen werden.","이 앱 내에 표시되는 환율은 정보 제공 목적으로 만 사용되며 투자 결정에 사용해서는 안됩니다. 이 요금은 추정치이며 실제 요금을 반영하지 않을 수 있습니다. 이 앱을 사용함으로써 귀하는 이러한 제한 사항을 이해하고 수락하며 앱 내에서 제공된 정보를 기반으로 한 모든 결정에 대해 전폭적 인 책임을집니다.","Bu uygulama içinde gösterilen döviz kurları yalnızca bilgi amaçlıdır ve yatırım kararları için kullanılmamalıdır. Bu oranlar tahminlerdir ve gerçek oranları yansıtmayabilir. Bu uygulamayı kullanarak, bu sınırlamaları anladığınızı ve kabul ettiğinizi ve uygulama içinde verilen bilgilere dayanarak alınan kararlar için tam sorumluluk üstlendiğinizi kabul edersiniz.","I tassi di cambio visualizzati all'interno di questa app sono solo a scopo informativo e non devono essere utilizzati per le decisioni di investimento. Queste tariffe sono stime e potrebbero non riflettere i tassi effettivi. Utilizzando questa app, riconosci di comprendere e accettare queste limitazioni e di assumerti la piena responsabilità per eventuali decisioni prese in base alle informazioni fornite all'interno dell'app.","Tỷ giá hối đoái được hiển thị trong ứng dụng này chỉ nhằm mục đích thông tin và không nên được sử dụng cho các quyết định đầu tư. Những tỷ lệ này là ước tính và có thể không phản ánh tỷ lệ thực tế. Bằng cách sử dụng ứng dụng này, bạn thừa nhận rằng bạn hiểu và chấp nhận những hạn chế này và bạn chịu trách nhiệm đầy đủ cho bất kỳ quyết định nào được đưa ra dựa trên thông tin được cung cấp trong ứng dụng.","Kursy wymiany wyświetlane w tej aplikacji służą wyłącznie celom informacyjnym i nie powinny być wykorzystywane do decyzji inwestycyjnych. Stawki te są szacunkami i mogą nie odzwierciedlać faktycznych stawek. Korzystając z tej aplikacji, potwierdzasz, że rozumiesz i akceptujesz te ograniczenia oraz że przyjmujesz pełną odpowiedzialność za wszelkie decyzje podjęte na podstawie informacji podanych w aplikacji.","De wisselkoersen die binnen deze app worden weergegeven, zijn alleen voor informatieve doeleinden en mogen niet worden gebruikt voor investeringsbeslissingen. Deze tarieven zijn schattingen en weerspiegelen mogelijk niet de werkelijke tarieven. Door deze app te gebruiken, erkent u dat u deze beperkingen begrijpt en accepteert en dat u de volledige verantwoordelijkheid op zich neemt voor alle beslissingen die zijn genomen op basis van de informatie die binnen de app is verstrekt.","อัตราแลกเปลี่ยนที่แสดงภายในแอพนี้มีวัตถุประสงค์เพื่อให้ข้อมูลเท่านั้นและไม่ควรใช้สำหรับการตัดสินใจลงทุน อัตราเหล่านี้เป็นการประมาณการและอาจไม่สะท้อนอัตราจริง โดยการใช้แอพนี้คุณรับทราบว่าคุณเข้าใจและยอมรับข้อ จำกัด เหล่านี้และคุณรับผิดชอบอย่างเต็มที่สำหรับการตัดสินใจใด ๆ ตามข้อมูลที่ให้ไว้ในแอพ","Směnné kurzy zobrazené v této aplikaci jsou pouze pro informační účely a neměly by být používány pro investiční rozhodnutí. Tyto sazby jsou odhady a nemusí odrážet skutečné sazby. Používáním této aplikace berete na vědomí, že tyto omezení rozumíte a přijímáte a že přebíráte plnou odpovědnost za všechna rozhodnutí učiněná na základě informací uvedených v aplikaci.","এই অ্যাপ্লিকেশনটির মধ্যে প্রদর্শিত এক্সচেঞ্জের হারগুলি কেবল তথ্যমূলক উদ্দেশ্যে এবং বিনিয়োগের সিদ্ধান্তের জন্য ব্যবহার করা উচিত নয়। এই হারগুলি অনুমান এবং প্রকৃত হারগুলি প্রতিফলিত করতে পারে না। এই অ্যাপ্লিকেশনটি ব্যবহার করে, আপনি স্বীকার করেছেন যে আপনি এই সীমাবদ্ধতাগুলি বুঝতে পেরেছেন এবং গ্রহণ করেছেন এবং আপনি অ্যাপ্লিকেশনটির মধ্যে প্রদত্ত তথ্যের ভিত্তিতে যে কোনও সিদ্ধান্তের জন্য সম্পূর্ণ দায়িত্ব গ্রহণ করেছেন।","Nilai tukar yang ditampilkan dalam aplikasi ini hanya untuk tujuan informasi dan tidak boleh digunakan untuk keputusan investasi. Tarif ini adalah perkiraan dan mungkin tidak mencerminkan tarif aktual. Dengan menggunakan aplikasi ini, Anda mengakui bahwa Anda memahami dan menerima batasan ini dan bahwa Anda memikul tanggung jawab penuh atas keputusan apa pun yang dibuat berdasarkan informasi yang diberikan dalam aplikasi.","اس ایپ کے اندر دکھائے جانے والے تبادلے کی شرح صرف معلوماتی مقاصد کے لئے ہے اور سرمایہ کاری کے فیصلوں کے لئے استعمال نہیں ہونا چاہئے۔ یہ نرخوں کا تخمینہ ہے اور ہوسکتا ہے کہ وہ اصل شرحوں کی عکاسی نہ کریں۔ اس ایپ کو استعمال کرکے ، آپ تسلیم کرتے ہیں کہ آپ ان حدود کو سمجھتے اور قبول کرتے ہیں اور آپ ایپ کے اندر فراہم کردہ معلومات کی بنیاد پر ہونے والے کسی بھی فیصلوں کی پوری ذمہ داری قبول کرتے ہیں۔","ఈ అనువర్తనంలో ప్రదర్శించబడే మార్పిడి రేట్లు సమాచార ప్రయోజనాల కోసం మాత్రమే మరియు పెట్టుబడి నిర్ణయాల కోసం ఉపయోగించకూడదు. ఈ రేట్లు అంచనాలు మరియు వాస్తవ రేట్లను ప్రతిబింబించకపోవచ్చు. ఈ అనువర్తనాన్ని ఉపయోగించడం ద్వారా, మీరు ఈ పరిమితులను అర్థం చేసుకున్నారని మరియు అంగీకరిస్తున్నారని మరియు అనువర్తనంలో అందించిన సమాచారం ఆధారంగా తీసుకున్న ఏవైనా నిర్ణయాలకు మీరు పూర్తి బాధ్యత వహిస్తారని మీరు అంగీకరిస్తున్నారు.","या अ‍ॅपमध्ये प्रदर्शित केलेले विनिमय दर केवळ माहितीच्या उद्देशाने आहेत आणि गुंतवणूकीच्या निर्णयासाठी वापरल्या जाऊ नयेत. हे दर अंदाज आहेत आणि वास्तविक दर प्रतिबिंबित करू शकत नाहीत. हा अ‍ॅप वापरुन, आपण कबूल करता की आपण या मर्यादा समजून घेत आहात आणि स्वीकारता आणि आपण अ‍ॅपमध्ये प्रदान केलेल्या माहितीच्या आधारे घेतलेल्या कोणत्याही निर्णयाची संपूर्ण जबाबदारी स्वीकारता.","இந்த பயன்பாட்டில் காட்டப்படும் பரிமாற்ற விகிதங்கள் தகவல் நோக்கங்களுக்காக மட்டுமே, முதலீட்டு முடிவுகளுக்கு பயன்படுத்தப்படக்கூடாது. இந்த விகிதங்கள் மதிப்பீடுகள் மற்றும் உண்மையான விகிதங்களை பிரதிபலிக்காது. இந்த பயன்பாட்டைப் பயன்படுத்துவதன் மூலம், இந்த வரம்புகளை நீங்கள் புரிந்துகொண்டு ஏற்றுக்கொள்கிறீர்கள் என்பதையும், பயன்பாட்டில் வழங்கப்பட்ட தகவல்களின் அடிப்படையில் எடுக்கப்பட்ட எந்தவொரு முடிவுகளுக்கும் நீங்கள் முழு பொறுப்பையும் ஏற்றுக்கொள்கிறீர்கள் என்பதை ஒப்புக்கொள்கிறீர்கள்.","આ એપ્લિકેશનમાં પ્રદર્શિત વિનિમય દર ફક્ત માહિતીના હેતુઓ માટે છે અને રોકાણના નિર્ણયો માટે તેનો ઉપયોગ થવો જોઈએ નહીં. આ દરો અંદાજ છે અને વાસ્તવિક દરોને પ્રતિબિંબિત કરી શકશે નહીં. આ એપ્લિકેશનનો ઉપયોગ કરીને, તમે સ્વીકારો છો કે તમે આ મર્યાદાઓને સમજો છો અને સ્વીકારો છો અને તમે એપ્લિકેશનમાં પૂરી પાડવામાં આવેલી માહિતીના આધારે લીધેલા કોઈપણ નિર્ણયો માટે સંપૂર્ણ જવાબદારી સ્વીકારો છો.","Обмінні курси, що відображаються в цьому додатку, призначені лише для інформаційних цілей і не повинні використовуватися для інвестиційних рішень. Ці ставки є оцінками і можуть не відображати фактичні ставки. Використовуючи цю програму, ви визнаєте, що розумієте та приймаєте ці обмеження і що ви берете на себе повну відповідальність за будь -які рішення, прийняті на основі інформації, наданої в додатку.","Ang mga rate ng palitan na ipinapakita sa loob ng app na ito ay para sa mga layuning pang -impormasyon lamang at hindi dapat gamitin para sa mga desisyon sa pamumuhunan. Ang mga rate na ito ay mga pagtatantya at maaaring hindi sumasalamin sa aktwal na mga rate. Sa pamamagitan ng paggamit ng app na ito, kinikilala mo na nauunawaan mo at tinatanggap mo ang mga limitasyong ito at ipinapalagay mo ang buong responsibilidad para sa anumang mga desisyon na ginawa batay sa impormasyong ibinigay sa loob ng app.","Kadar pertukaran yang dipaparkan dalam aplikasi ini adalah untuk tujuan maklumat sahaja dan tidak boleh digunakan untuk keputusan pelaburan. Kadar ini adalah anggaran dan mungkin tidak mencerminkan kadar sebenar. Dengan menggunakan aplikasi ini, anda mengakui bahawa anda memahami dan menerima batasan -batasan ini dan anda bertanggungjawab sepenuhnya untuk sebarang keputusan yang dibuat berdasarkan maklumat yang diberikan dalam aplikasinya.","Ratele de schimb afișate în cadrul acestei aplicații sunt doar în scop informativ și nu trebuie utilizate pentru deciziile de investiții. Aceste rate sunt estimări și pot să nu reflecte ratele reale. Folosind această aplicație, recunoașteți că înțelegeți și acceptați aceste limitări și că vă asumați întreaga responsabilitate pentru orice decizii luate pe baza informațiilor furnizate în aplicație.","Az ebben az alkalmazásban megjelenített árfolyamok csak információs célokat szolgálnak, és ezeket nem szabad befektetési döntésekhez használni. Ezek a kamatlábak becslések, és nem tükrözik a tényleges kamatlábakat. Az alkalmazás használatával tudomásul veszi, hogy megérti és elfogadja ezeket a korlátozásokat, és hogy teljes felelősséget vállal az alkalmazáson belüli információk alapján meghozott döntésekért.","Οι συναλλαγματικές ισοτιμίες που εμφανίζονται σε αυτήν την εφαρμογή αφορούν μόνο ενημερωτικούς σκοπούς και δεν πρέπει να χρησιμοποιούνται για επενδυτικές αποφάσεις. Αυτά τα ποσοστά είναι εκτιμήσεις και ενδέχεται να μην αντικατοπτρίζουν τους πραγματικούς ρυθμούς. Χρησιμοποιώντας αυτήν την εφαρμογή, αναγνωρίζετε ότι κατανοείτε και αποδέχεστε αυτούς τους περιορισμούς και ότι αναλαμβάνετε την πλήρη ευθύνη για τυχόν αποφάσεις που λαμβάνονται βάσει των πληροφοριών που παρέχονται στην εφαρμογή.","Valutakurserna som visas inom denna app är endast för informationsändamål och bör inte användas för investeringsbeslut. Dessa priser är uppskattningar och kanske inte återspeglar faktiska priser. Genom att använda den här appen erkänner du att du förstår och accepterar dessa begränsningar och att du tar ett fullt ansvar för eventuella beslut som fattas baserat på den information som tillhandahålls i appen.","Valutakurserne, der vises i denne app, er kun til informationsformål og bør ikke bruges til investeringsbeslutninger. Disse satser er estimater og afspejler muligvis ikke faktiske satser. Ved at bruge denne app anerkender du, at du forstår og accepterer disse begrænsninger, og at du påtager dig det fulde ansvar for eventuelle beslutninger, der er truffet baseret på de oplysninger, der er givet i appen.","Valutakursene som vises i denne appen er kun til informasjonsformål og bør ikke brukes til investeringsbeslutninger. Disse prisene er estimater og gjenspeiler kanskje ikke faktiske priser. Ved å bruke denne appen, erkjenner du at du forstår og aksepterer disse begrensningene, og at du påtar deg fullt ansvar for alle beslutninger som er tatt basert på informasjonen som er gitt i appen.","Tässä sovelluksessa näkyvät valuuttakurssit ovat vain informaatiotarkoituksiin, eikä niitä pidä käyttää sijoituspäätöksiin. Nämä hinnat ovat arvioita, eivätkä ne välttämättä heijasta todellisia korkoja. Tätä sovellusta käyttämällä tunnustat, että ymmärrät ja hyväksyt nämä rajoitukset ja että otat täyden vastuun sovelluksen sisällä esitettyjen tietojen perusteella tehdyistä päätöksistä.","שערי החליפין המוצגים באפליקציה זו מיועדים למטרות מידע בלבד ואין להשתמש בהן להחלטות השקעה. שיעורים אלה הם אומדנים וייתכן שלא משקפים שיעורים בפועל. על ידי שימוש באפליקציה זו, אתה מאשר שאתה מבין ומקבל את המגבלות הללו וכי אתה מקבל אחריות מלאה לכל החלטות שהתקבלו על סמך המידע שנמסר באפליקציה.","نرخ ارز نمایش داده شده در این برنامه فقط برای اهداف اطلاعاتی است و نباید برای تصمیمات سرمایه گذاری مورد استفاده قرار گیرد. این نرخ ها تخمین می زنند و ممکن است نرخ واقعی را منعکس نکند. با استفاده از این برنامه ، شما تأیید می کنید که این محدودیت ها را می فهمید و می پذیرید و مسئولیت کامل هرگونه تصمیم گیری بر اساس اطلاعات ارائه شده در برنامه را بر عهده می گیرید.","ഈ അപ്ലിക്കേഷനിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്ന വിനിമയ നിരക്കുകൾ വിവരദായക ആവശ്യങ്ങൾക്കാണ് മാത്രമല്ല, നിക്ഷേപ തീരുമാനങ്ങൾക്കായി ഉപയോഗിക്കരുത്. ഈ നിരക്കുകൾ എസ്റ്റിമേറ്റുകളാണ്, മാത്രമല്ല യഥാർത്ഥ നിരക്കുകളെ പ്രതിഫലിപ്പിച്ചേക്കില്ല. ഈ അപ്ലിക്കേഷൻ ഉപയോഗിക്കുന്നതിലൂടെ, ഈ പരിമിതികൾ മനസിലാക്കുകയും അംഗീകരിക്കുകയും ചെയ്യുന്നുവെന്നും അപ്ലിക്കേഷനുള്ളിൽ നൽകിയ വിവരങ്ങളെ അടിസ്ഥാനമാക്കിയുള്ള ഏത് തീരുമാനങ്ങൾക്കും നിങ്ങൾ പൂർണ്ണ ഉത്തരവാദിത്തം ഏറ്റെടുക്കുന്നുവെന്നും നിങ്ങൾ അംഗീകരിക്കുന്നു."
"search-placeholder","Search...","Recherche...","Buscar...","搜索...","खोज...","يبحث...","Procurar...","Поиск...","検索...","Suchen...","찾다...","Aramak...","Ricerca...","Tìm kiếm...","Szukaj...","Zoekopdracht...","ค้นหา...","Vyhledávání...","অনুসন্ধান ...","Mencari...","تلاش ...","వెతకండి...","शोध ...","தேடுங்கள் ...","શોધ ...","Пошук ...","…","Cari ...","Căutare...","Keresés...","Αναζήτηση...","Sök...","Søg...","Søk...","Hae...","לחפש...","جستجو کردن...","തിരയൽ ..."
"search-wallets-placeholder","Search accounts...","Comptes de recherche ...","Cuentas de búsqueda ...","搜索帐户...","खोज खाते ...","حسابات البحث ...","Contas de pesquisa ...","Поисковые учетные записи ...","アカウントを検索...","Suchkonten ...","검색 계정 ...","Arama hesapları ...","Cerca account...","Tài khoản tìm kiếm ...","Wyszukaj konta ...","Zoekaccounts ...","ค้นหาบัญชี ...","Hledat účty ...","অনুসন্ধান অ্যাকাউন্ট ...","Cari akun ...","تلاش اکاؤنٹس ...","శోధన ఖాతాలు ...","खाती शोधा ...","தேடல் கணக்குகள் ...","શોધ એકાઉન્ટ્સ ...","Пошукові рахунки ...","Mga Account sa Paghahanap ...","Carian Akaun ...","Conturi de căutare ...","Keresési fiókok ...","Λογαριασμοί αναζήτησης ...","Sökkonton ...","Søgekonti ...","Søkekontoer ...","Hakutilit ...","חשבונות חיפוש ...","حساب های جستجو ...","അക്കൗണ്ടുകൾ തിരയുക ..."
"search-budgets-placeholder","Search budgets...","Budgets de recherche ...","Presupuestos de búsqueda ...","搜索预算...","खोज बजट ...","ميزانيات البحث ...","Orçamentos de pesquisa ...","Поисковые бюджеты ...","予算を検索...","Suchbudgets ...","검색 예산 ...","Arama bütçeleri ...","Cerca budget...","Ngân sách tìm kiếm ...","Wyszukaj budżety ...","Zoekbudgetten ...","งบประมาณค้นหา ...","Hledat rozpočty ...","অনুসন্ধান বাজেট ...","Cari anggaran ...","تلاش بجٹ ...","బడ్జెట్లను శోధించండి ...","बजेट शोधा ...","தேடல் வரவு செலவுத் திட்டங்கள் ...","શોધ બજેટ ...","Пошук бюджетів ...","Mga badyet sa paghahanap ...","Belanjawan cari ...","Bugetele de căutare ...","Keresési költségvetés ...","Προϋπολογισμοί αναζήτησης ...","Sökbudgetar ...","Søg efter budgetter ...","Søkebudsjetter ...","Hakubudjetit ...","תקציבי חיפוש ...","بودجه جستجو ...","ബജറ്റുകൾ തിരയുക ..."
"search-categories-placeholder","Search categories...","Catégories de recherche ...","Categorías de búsqueda ...","搜索类别...","खोज श्रेणियां ...","فئات البحث ...","Categorias de pesquisa ...","Категории поиска ...","検索カテゴリ...","Suchkategorien ...","검색 범주 ...","Arama kategorileri ...","Cerca categorie...","Danh mục tìm kiếm ...","Wyszukaj kategorie ...","Zoekcategorieën ...","ค้นหาหมวดหมู่ ...","Kategorie hledání ...","অনুসন্ধান বিভাগ ...","Kategori pencarian ...","تلاش کے زمرے ...","శోధన వర్గాలు ...","शोध श्रेणी ...","தேடு வகைகளைத் தேடுங்கள் ...","શોધ કેટેગરીઝ ...","Категорії пошуку ...","Mga kategorya ng paghahanap ...","Kategori carian ...","Categorii de căutare ...","Keresési kategóriák ...","Κατηγορίες αναζήτησης ...","Sökkategorier ...","Søgningskategorier ...","Søkekategorier ...","Hakuluokat ...","קטגוריות חיפוש ...","دسته های جستجو ...","തിരയൽ വിഭാഗങ്ങൾ ..."
"search-titles-placeholder","Search titles...","Titres de recherche ...","Títulos de búsqueda ...","搜索标题...","खोज शीर्षक ...","عناوين البحث ...","Títulos de pesquisa ...","Здания поиска ...","タイトルを検索...","Suchtitel ...","검색 제목 ...","Arama başlıkları ...","Cerca titolo...","Tiêu đề tìm kiếm ...","Wyszukaj tytuły ...","Zoek titels ...","ค้นหาชื่อ ...","Vyhledávací tituly ...","শিরোনাম অনুসন্ধান ...","Judul pencarian ...","تلاش کے عنوانات ...","శోధన శీర్షికలు ...","शीर्षके शोधा ...","தலைப்புகளைத் தேடுங்கள் ...","શોધ ટાઇટલ ...","Вишукані назви ...","Mga Pamagat ng Paghahanap ...","Tajuk carian ...","Căutați titluri ...","Keresési címek ...","Τίτλοι αναζήτησης ...","Söktitlar ...","Søg titler ...","Søketitler ...","Haku otsikot ...","חיפוש כותרות ...","عناوین جستجو ...","ശീർഷകങ്ങൾ തിരയുക ..."
"search-transactions","Search Transactions","Transactions de recherche","Transacciones de búsqueda","搜索交易","खोज लेनदेन","معاملات البحث","Transações de pesquisa","Поисковые транзакции","トランザクションを検索します","Suchtransaktionen","검색 거래","Arama işlemleri","Cerca transazioni...","Tìm kiếm giao dịch","Wyszukaj transakcje","Zoektransacties","การค้นหาธุรกรรม","Vyhledávací transakce","লেনদেন অনুসন্ধান","Transaksi Cari","لین دین تلاش کریں","లావాదేవీలను శోధించండి","शोध व्यवहार","பரிவர்த்தனைகளைத் தேடுங்கள்","તપાસ","Пошукові транзакції","Mga Transaksyon sa Paghahanap","Urus niaga cari","Căutați tranzacții","Keresési tranzakciók","Συναλλαγές αναζήτησης","Söka transaktioner","Søgningstransaktioner","Søk transaksjoner","Hakutapahtumat","עסקאות חיפוש","معاملات جستجو","തിരയൽ ഇടപാടുകൾ"
"search","Search","Recherche","Buscar","搜索","खोज","يبحث","Procurar","Поиск","検索","Suchen","찾다","Aramak","Cerca","Tìm kiếm","Szukaj","Zoekopdracht","ค้นหา","Vyhledávání","অনুসন্ধান","Mencari","تلاش","వెతకండి","शोध","தேடல்","શોધ","Обшук","Maghanap","Cari","Căutare","Keresés","Αναζήτηση","Sök","Søg","Søk","Hae","לחפש","جستجو کردن","അനേഷണം"
